ID, Date/Time, Title, Length, Link
2,2020-01-19 22:41:09.532076,Test Post,38,/blogs/test-post-id2
1,2020-01-19 17:09:12.090177,Ten Privacy-friendly Software Alternatives,1039,/blogs/ten-privacy-friendly-software-alternatives-id1
